DATE,BOGMBASE
1988-12-01,283800.0
1989-01-01,282200.0
1989-02-01,275300.0
1989-03-01,278800.0
1989-04-01,281600.0
1989-05-01,280600.0
1989-06-01,283700.0
1989-07-01,285700.0
1989-08-01,283900.0
1989-09-01,284000.0
1989-10-01,284200.0
1989-11-01,287800.0
1989-12-01,294300.0
1990-01-01,293100.0
1990-02-01,287700.0
1990-03-01,292400.0
1990-04-01,297400.0
1990-05-01,297300.0
1990-06-01,301700.0
1990-07-01,303900.0
1990-08-01,305100.0
1990-09-01,308000.0
1990-10-01,308800.0
1990-11-01,313700.0
1990-12-01,315300.0
1991-01-01,309600.0
1991-02-01,306900.0
1991-03-01,311100.0
1991-04-01,314100.0
1991-05-01,314300.0
1991-06-01,318100.0
1991-07-01,320000.0
1991-08-01,320100.0
1991-09-01,321800.0
1991-10-01,323100.0
1991-11-01,328400.0
1991-12-01,335400.0
1992-01-01,333100.0
1992-02-01,331200.0
1992-03-01,335600.0
1992-04-01,333100.0
1992-05-01,334500.0
1992-06-01,337100.0
1992-07-01,340400.0
1992-08-01,342700.0
1992-09-01,346900.0
1992-10-01,349800.0
1992-11-01,355900.0
1992-12-01,361900.0
1993-01-01,360600.0
1993-02-01,359500.0
1993-03-01,362700.0
1993-04-01,368800.0
1993-05-01,370800.0
1993-06-01,375800.0
1993-07-01,379100.0
1993-08-01,380900.0
1993-09-01,384700.0
1993-10-01,388200.0
1993-11-01,392000.0
1993-12-01,398600.0
1994-01-01,397800.0
1994-02-01,397900.0
1994-03-01,400800.0
1994-04-01,406900.0
1994-05-01,407100.0
1994-06-01,411600.0
1994-07-01,415000.0
1994-08-01,415300.0
1994-09-01,416900.0
1994-10-01,418700.0
1994-11-01,423100.0
1994-12-01,428500.0
1995-01-01,426200.0
1995-02-01,422900.0
1995-03-01,427700.0
1995-04-01,433500.0
1995-05-01,434000.0
1995-06-01,434800.0
1995-07-01,435900.0
1995-08-01,435500.0
1995-09-01,436300.0
1995-10-01,436600.0
1995-11-01,439100.0
1995-12-01,445800.0
1996-01-01,441700.0
1996-02-01,435700.0
1996-03-01,440500.0
1996-04-01,443400.0
1996-05-01,443000.0
1996-06-01,446400.0
1996-07-01,449800.0
1996-08-01,450900.0
1996-09-01,452000.0
1996-10-01,452500.0
1996-11-01,457000.0
1996-12-01,465000.0
1997-01-01,462500.0
1997-02-01,459900.0
1997-03-01,462300
1997-04-01,465500.0
1997-05-01,467000.0
1997-06-01,469800.0
1997-07-01,473100.0
1997-08-01,474300.0
1997-09-01,475400.0
1997-10-01,477700.0
1997-11-01,484600.0
1997-12-01,493100.0
1998-01-01,491200.0
1998-02-01,488400.0
1998-03-01,491000.0
1998-04-01,494100.0
1998-05-01,495200.0
1998-06-01,498100.0
1998-07-01,502400.0
1998-08-01,504900.0
1998-09-01,508600.0
1998-10-01,512600.0
1998-11-01,518300.0
1998-12-01,526400.0
1999-01-01,527900.0
1999-02-01,526400.0
1999-03-01,531000.0
1999-04-01,535200.0
1999-05-01,540600.0
1999-06-01,544000.0
1999-07-01,548800.0
1999-08-01,551400.0
1999-09-01,556800.0
1999-10-01,564700.0
1999-11-01,582800.0
1999-12-01,612500.0
2000-01-01,601900.0
2000-02-01,578000.0
2000-03-01,577100.0
2000-04-01,578600.0
2000-05-01,580600.0
2000-06-01,582000.0
2000-07-01,584200.0
2000-08-01,583400.0
2000-09-01,583800.0
2000-10-01,585300.0
2000-11-01,590300.0
2000-12-01,598300.0
2001-01-01,598700.0
2001-02-01,595900.0
2001-03-01,599100.0
2001-04-01,601700.0
2001-05-01,605900.0
2001-06-01,609100.0
2001-07-01,616000.0
2001-08-01,622400.0
2001-09-01,647200.0
2001-10-01,635200.0
2001-11-01,639500.0
2001-12-01,650800.0
2002-01-01,653800.0
2002-02-01,654600.0
2002-03-01,659000.0
2002-04-01,663400.0
2002-05-01,668600.0
2002-06-01,674000.0
2002-07-01,679300.0
2002-08-01,679800.0
2002-09-01,680400.0
2002-10-01,681900.0
2002-11-01,688500.0
2002-12-01,699200.0
2003-01-01,699300.0
2003-02-01,701000.0
2003-03-01,705300.0
2003-04-01,709600.0
2003-05-01,713700.0
2003-06-01,715000.0
2003-07-01,717600.0
2003-08-01,720900.0
2003-09-01,721100.0
2003-10-01,724800.0
2003-11-01,730600.0
2003-12-01,739400.0
2004-01-01,736400.0
2004-02-01,735300.0
2004-03-01,736800.0
2004-04-01,741200.0
2004-05-01,745000.0
2004-06-01,750700.0
2004-07-01,757300.0
2004-08-01,757200.0
2004-09-01,762200.0
2004-10-01,763900.0
2004-11-01,770500.0
2004-12-01,776300.0
2005-01-01,775200.0
2005-02-01,772900.0
2005-03-01,773500.0
2005-04-01,775500.0
2005-05-01,776400.0
2005-06-01,780700.0
2005-07-01,782900.0
2005-08-01,782700.0
2005-09-01,787900.0
2005-10-01,787200.0
2005-11-01,793500.0
2005-12-01,803100.0
2006-01-01,804200.0
2006-02-01,804900.0
2006-03-01,810100.0
2006-04-01,809200.0
2006-05-01,812600.0
2006-06-01,812400.0
2006-07-01,811500.0
2006-08-01,809700.0
2006-09-01,810400.0
2006-10-01,809800.0
2006-11-01,816800.0
2006-12-01,826700.0
2007-01-01,823000.0
2007-02-01,820000.0
2007-03-01,820900.0
2007-04-01,823000.0
2007-05-01,825700.0
2007-06-01,827200.0
2007-07-01,828900.0
2007-08-01,829600.0
2007-09-01,827400.0
2007-10-01,829000.0
2007-11-01,834300.0
2007-12-01,837200.0
2008-01-01,830600.0
2008-02-01,829500.0
2008-03-01,833000.0
2008-04-01,830200.0
2008-05-01,834700.0
2008-06-01,840200.0
2008-07-01,847000.0
2008-08-01,847600.0
2008-09-01,909700.0
2008-10-01,1136400.0
2008-11-01,1442300.0
2008-12-01,1666400.0
2009-01-01,1712000.0
2009-02-01,1561700.0
2009-03-01,1647300.0
2009-04-01,1753200.0
2009-05-01,1775100.0
2009-06-01,1683700.0
2009-07-01,1673600.0
2009-08-01,1710800.0
2009-09-01,1801200.0
2009-10-01,1936300.0
2009-11-01,2024600.0
2009-12-01,2026200.0
2010-01-01,1995000.0
2010-02-01,2115200.0
2010-03-01,2079600.0
2010-04-01,2014400.0
2010-05-01,2012300.0
2010-06-01,2002400.0
2010-07-01,1994300.0
2010-08-01,1993700.0
2010-09-01,1961200.0
2010-10-01,1961700.0
2010-11-01,1973100.0
2010-12-01,2017000
2011-01-01,2047900.0
2011-02-01,2211600.0
2011-03-01,2395300.0
2011-04-01,2496600.0
2011-05-01,2567200.0
2011-06-01,2648500.0
2011-07-01,2684800.0
2011-08-01,2657700.0
2011-09-01,2637700.0
2011-10-01,2637800.0
2011-11-01,2605400.0
2011-12-01,2619600.0
2012-01-01,2640800.0
2012-02-01,2694400.0
2012-03-01,2655200.0
2012-04-01,2639800.0
2012-05-01,2616500.0
2012-06-01,2618800.0
2012-07-01,2647800.0
2012-08-01,2650700.0
2012-09-01,2594900.0
2012-10-01,2611800.0
2012-11-01,2646800.0
2012-12-01,2675900.0
2013-01-01,2741700.0
2013-02-01,2845300.0
2013-03-01,2935000.0
2013-04-01,3011700.0
2013-05-01,3116900.0
2013-06-01,3201500.0
2013-07-01,3290900.0
2013-08-01,3398900.0
2013-09-01,3486900.0
2013-10-01,3589500.0
2013-11-01,3684600.0
2013-12-01,3717500.0
2014-01-01,3728500.0
2014-02-01,3833400.0
2014-03-01,3885900.0
2014-04-01,3930700.0
2014-05-01,3911500.0
2014-06-01,3948700.0
2014-07-01,3989100.0
2014-08-01,4075000.0
2014-09-01,4049200.0
2014-10-01,4001500.0
2014-11-01,3830400.0
2014-12-01,3934500.0
